"municipio_id_sus","uf_sigla","municipio_nome","isf_nota","periodo_data_inicio"
"291000",BA,DÁRIO MEIRA,3.73,2022-12-01
"150100",PA,AVEIRO,3.75,2022-12-01
"421605",SC,SÃO CRISTOVÃO DO SUL,3.76,2022-12-01
"314940",MG,PEDRO TEIXEIRA,3.76,2022-12-01
"431030",RS,ILÓPOLIS,3.77,2022-12-01
"291080",BA,FEIRA DE SANTANA,3.78,2022-12-01
"420130",SC,ARAQUARI,3.78,2022-12-01
"521486",GO,NOVA GLÓRIA,3.79,2022-12-01
"312040",MG,CRISTIANO OTONI,3.79,2022-12-01
"410470",PR,CARLÓPOLIS,3.79,2022-12-01
"520140",GO,APARECIDA DE GOIÂNIA,3.79,2022-12-01
"314770",MG,PASSA TEMPO,3.8,2022-12-01
"410360",PR,CAMBARÁ,3.8,2022-12-01
"350055",SP,ÁGUAS DE SANTA BÁRBARA,3.8,2022-12-01
"431390",RS,PANAMBI,3.8,2022-12-01
"355500",SP,TUPÃ,3.81,2022-12-01
"430515",RS,CERRO GRANDE,3.81,2022-12-01
"355370",SP,TAQUARITINGA,3.82,2022-12-01
"312310",MG,DORES DE GUANHÃES,3.82,2022-12-01
"150506",PA,NOVO REPARTIMENTO,3.82,2022-12-01
"160055",AP,PRACUÚBA,3.83,2022-12-01
"311615",MG,CHAPADA GAÚCHA,3.83,2022-12-01
"311220",MG,CAPELA NOVA,3.83,2022-12-01
"431940",RS,SÃO PEDRO DO SUL,3.83,2022-12-01
"352980",SP,MINEIROS DO TIETÊ,3.84,2022-12-01
"330560",RJ,SILVA JARDIM,3.84,2022-12-01
"150140",PA,BELÉM,3.85,2022-12-01
"330093",RJ,CARAPEBUS,3.85,2022-12-01
"432143",RS,TERRA DE AREIA,3.85,2022-12-01
"150780",PA,SENADOR JOSÉ PORFÍRIO,3.85,2022-12-01
"432130",RS,TAQUARI,3.85,2022-12-01
"210197",MA,BOA VISTA DO GURUPI,3.85,2022-12-01
"431795",RS,SANTO EXPEDITO DO SUL,3.86,2022-12-01
"431440",RS,PELOTAS,3.86,2022-12-01
"292930",BA,SÃO GONÇALO DOS CAMPOS,3.88,2022-12-01
"330260",RJ,MANGARATIBA,3.88,2022-12-01
"430130",RS,ARROIO GRANDE,3.89,2022-12-01
"351310",SP,CRAVINHOS,3.89,2022-12-01
"351510",SP,EMBU-GUAÇU,3.9,2022-12-01
"130115",AM,CAREIRO DA VÁRZEA,3.9,2022-12-01
"430205",RS,BENJAMIN CONSTANT DO SUL,3.9,2022-12-01
"420250",SC,BOM JARDIM DA SERRA,3.9,2022-12-01
"150430",PA,MARACANÃ,3.91,2022-12-01
"330050",RJ,BOM JARDIM,3.92,2022-12-01
"314080",MG,MATIAS BARBOSA,3.92,2022-12-01
"330380",RJ,PARATY,3.92,2022-12-01
"312520",MG,FAMA,3.92,2022-12-01
"150020",PA,ACARÁ,3.93,2022-12-01
"312360",MG,ELÓI MENDES,3.93,2022-12-01
"430160",RS,BAGÉ,3.93,2022-12-01
"431113",RS,JARI,3.94,2022-12-01
"330080",RJ,CACHOEIRAS DE MACACU,3.95,2022-12-01
"351880",SP,GUARULHOS,3.95,2022-12-01
"510390",MT,GENERAL CARNEIRO,3.95,2022-12-01
"431740",RS,SANTIAGO,3.95,2022-12-01
"315190",MG,POCRANE,3.96,2022-12-01
"240670",RN,LAJES,3.97,2022-12-01
"421430",SC,RANCHO QUEIMADO,3.97,2022-12-01
"261540",PE,TORITAMA,3.97,2022-12-01
"110037",RO,ALTO ALEGRE DOS PARECIS,3.97,2022-12-01
"291050",BA,ENTRE RIOS,3.97,2022-12-01
"130350",AM,PAUINI,3.97,2022-12-01
"352970",SP,MIGUELÓPOLIS,3.98,2022-12-01
"160030",AP,MACAPÁ,3.98,2022-12-01
"351620",SP,FRANCA,3.99,2022-12-01
"351870",SP,GUARUJÁ,3.99,2022-12-01
"150800",PA,TOMÉ-AÇU,3.99,2022-12-01
"352660",SP,LAVRINHAS,3.99,2022-12-01
"312200",MG,DIVINO,3.99,2022-12-01
"140040",RR,NORMANDIA,4.0,2022-12-01
"210800",MA,PASTOS BONS,4.0,2022-12-01
"430980",RS,IBIAÇÁ,4.0,2022-12-01
"120045",AC,SENADOR GUIOMARD,4.0,2022-12-01
"317047",MG,URUANA DE MINAS,4.01,2022-12-01
"320313",ES,JOÃO NEIVA,4.02,2022-12-01
"313770",MG,LAJINHA,4.02,2022-12-01
"353180",SP,MONTE MOR,4.02,2022-12-01
"351010",SP,CÂNDIDO RODRIGUES,4.02,2022-12-01
"352530",SP,JAÚ,4.02,2022-12-01
"316500",MG,SÃO TIAGO,4.03,2022-12-01
"290720",BA,CASA NOVA,4.03,2022-12-01
"211227",MA,TUFILÂNDIA,4.03,2022-12-01
"110100",RO,GOVERNADOR JORGE TEIXEIRA,4.03,2022-12-01
"293070",BA,SIMÕES FILHO,4.04,2022-12-01
"355465",SP,TORRE DE PEDRA,4.04,2022-12-01
"430187",RS,BARRA DO QUARAÍ,4.05,2022-12-01
"354570",SP,SANTA ALBERTINA,4.05,2022-12-01
"354210",SP,RAFARD,4.06,2022-12-01
"310620",MG,BELO HORIZONTE,4.06,2022-12-01
"315210",MG,PONTE NOVA,4.07,2022-12-01
"290590",BA,CAMPO ALEGRE DE LOURDES,4.07,2022-12-01
"312950",MG,IBIÁ,4.08,2022-12-01
"312490",MG,EUGENÓPOLIS,4.08,2022-12-01
"432218",RS,TUPANCI DO SUL,4.09,2022-12-01
"210280",MA,CAROLINA,4.09,2022-12-01
